run_id,figure_file,wall_time_sec,cycle_time_total_sec,sensor_on_threshold,high_info_quantile,goal_hotspot_quantile,goal_distance_weight,goal_w,head_goal_w,path_info_w,coverage_w,speed_w,low_info_fast_w,sensor_bce_w,sensor_off_w,sensor_smooth_w,v_high,v_low,tail_w_opt,discount_rate,seam_vel_w,seam_acc_w,bridge_len,warm_xy_noise_std,head_to_peak_dist_mean,peak_min_dist_mean,high_info_dwell_ratio_mean,sensor_f1_high_info_mean,low_info_on_rate_mean,composite_score,rank
37,run_037.png,27.60579514503479,27.6052303314209,0.8,0.8,0.82,0.18,6.0,10.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4342118203639984,0.18031152058392763,0.2574999984353781,0.5402476409867082,0.28850871938795664,0.41453634335374084,52
38,run_038.png,28.479465007781982,28.478214025497437,0.8,0.8,0.82,0.18,6.0,10.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4348173961043358,0.1804621359333396,0.2600000035017729,0.5431869375039864,0.28511513157894736,0.4201314104086402,51
39,run_039.png,27.475985765457153,27.474971771240234,0.8,0.8,0.82,0.18,6.0,10.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.43455079942941666,0.17969192005693913,0.2600000035017729,0.5431869375039864,0.28511513157894736,0.43091694098732847,50
40,run_040.png,25.113104343414307,25.11268639564514,0.8,0.8,0.82,0.18,6.0,10.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4335757941007614,0.18003991525620222,0.2600000035017729,0.5485541691424045,0.28511513157894736,0.44061279342408605,47
41,run_041.png,25.80944275856018,25.808671712875366,0.8,0.8,0.82,0.18,6.0,10.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.43466684222221375,0.18178333714604378,0.25500000081956387,0.5326216029341029,0.2810715326340326,0.38086990601390613,54
42,run_042.png,26.943171977996826,26.941937923431396,0.8,0.8,0.82,0.18,6.0,10.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4342100992798805,0.1797040868550539,0.2600000035017729,0.5376346289125193,0.28511513157894736,0.43203090978666575,49
43,run_043.png,26.198750972747803,26.197505474090576,0.8,0.8,0.82,0.18,6.0,14.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42930012568831444,0.17680198419839144,0.25499999849125743,0.523173575062827,0.28099844178248956,0.48663622034279747,36
44,run_044.png,26.675992965698242,26.674261331558228,0.8,0.8,0.82,0.18,6.0,14.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4292806275188923,0.1763866674154997,0.2524999971501529,0.5200501559372528,0.2813970601030679,0.4778030784312023,39
45,run_045.png,26.223830938339233,26.22273015975952,0.8,0.8,0.82,0.18,6.0,14.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42871924489736557,0.17447376623749733,0.2525000008754432,0.5204026391022358,0.28040035565808763,0.5038483619799895,31
46,run_046.png,26.305011987686157,26.304219007492065,0.8,0.8,0.82,0.18,6.0,14.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42790382355451584,0.17264210991561413,0.24749999586492777,0.5012913991422693,0.29667463683857126,0.4957935741557036,35
