combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
48,8.0,1.2,0.3,0.35,0.45,0.7,0.2954960372298956,0.24167344098289809,0.33750000316649675,1.124999965851507,0.5038377192982456,0.2388888888888889,0.05284478171961382,0.25,8.666313469409943,500.0,0.5591507967618132
49,8.0,1.2,0.3,0.35,0.45,1.0,0.2954960372298956,0.24167344098289809,0.33750000316649675,1.124999965851507,0.5038377192982456,0.2388888888888889,0.05284478171961382,0.25,8.390029311180115,500.0,0.5591507967618132
50,8.0,1.2,0.3,0.35,0.7,0.7,0.43691636621952057,0.11732636295103778,0.13750000204890966,0.45833332195050225,0.36476608187134507,0.09748931623931624,0.05879301467211917,0.0,8.42535650730133,500.0,0.3588619092239007
51,8.0,1.2,0.3,0.35,0.7,1.0,0.2965172417461872,0.24222637588779133,0.33749998826533556,1.1249999161809716,0.5112781954887218,0.25526315789473686,0.05181325203739107,0.25,8.48401403427124,500.0,0.5650549532604014
52,8.0,1.2,0.3,0.55,0.45,0.7,0.2954959589987993,0.24167295421163243,0.33750000316649675,1.124999965851507,0.5038377192982456,0.2388888888888889,0.052844697260297835,0.25,8.643811881542206,500.0,0.5591520312754618
53,8.0,1.2,0.3,0.55,0.45,1.0,0.2954959589987993,0.24167295421163243,0.33750000316649675,1.124999965851507,0.5038377192982456,0.2388888888888889,0.052844697260297835,0.25,8.48185509443283,500.0,0.5591520312754618
54,8.0,1.2,0.3,0.55,0.7,0.7,0.43691663444042206,0.11732548987492918,0.13750000204890966,0.45833332195050225,0.36476608187134507,0.09748931623931624,0.05879284432739951,0.0,8.662881553173065,500.0,0.35886343391814457
55,8.0,1.2,0.3,0.55,0.7,1.0,0.2965171169489622,0.24222571682184935,0.33749998826533556,1.1249999161809716,0.5112781954887218,0.25526315789473686,0.051813127938658,0.25,8.977821111679077,500.0,0.5650567024112434
56,8.0,1.2,0.55,0.35,0.45,0.7,0.2953151911497116,0.24154767176757258,0.3499999912455678,1.1666665911260607,0.512531328320802,0.23157894736842105,0.052773673029150814,0.25,8.71327555179596,500.0,0.5580519184689707
57,8.0,1.2,0.55,0.35,0.45,1.0,0.2953151911497116,0.24154767176757258,0.3499999912455678,1.1666665911260607,0.512531328320802,0.23157894736842105,0.052773673029150814,0.25,8.95308780670166,500.0,0.5580519184689707
58,8.0,1.2,0.55,0.35,0.7,0.7,0.43714359402656555,0.11719073168933393,0.13750000204890966,0.45833332195050225,0.36476608187134507,0.09957264957264958,0.0587851443560794,0.0,8.811433732509613,500.0,0.35966190462793096
59,8.0,1.2,0.55,0.35,0.7,1.0,0.2963162027299404,0.24213759290675324,0.3499999912455678,1.1666665911260607,0.4993734335839599,0.26904761904761904,0.0517555593396537,0.25,9.415604948997498,500.0,0.5839324499617313
60,8.0,1.2,0.55,0.55,0.45,0.7,0.2953150924295187,0.24154721510907012,0.3499999912455678,1.1666665911260607,0.512531328320802,0.23157894736842105,0.052773680072277784,0.25,8.349866688251495,500.0,0.5580527520496572
61,8.0,1.2,0.55,0.55,0.45,1.0,0.2953150924295187,0.24154721510907012,0.3499999912455678,1.1666665911260607,0.512531328320802,0.23157894736842105,0.052773680072277784,0.25,7.994876801967621,500.0,0.5580527520496572
62,8.0,1.2,0.55,0.55,0.7,0.7,0.4371439665555954,0.11718991197024782,0.13750000204890966,0.45833332195050225,0.36476608187134507,0.09957264957264958,0.058784825465409085,0.0,8.56068468093872,500.0,0.3596637944047588
63,8.0,1.2,0.55,0.55,0.7,1.0,0.2963161878287792,0.24213686678558588,0.3499999912455678,1.1666665911260607,0.4993734335839599,0.26904761904761904,0.05175572837470099,0.25,8.799341320991516,500.0,0.5839328261301472
